,coefficient,relativity,p_value
Region_R74,0.21230920257320537,1.2365301642832434,0.004982654167901105
Region_R21,0.1799475302822878,1.1971545471127105,0.05448986696356383
VehBrand_B12,0.14710146927114434,1.1584715063256266,3.2085728401004427e-13
Region_R94,0.12547955242933306,1.1336919874764964,0.10554266219660685
Region_R53,0.1001688490763746,1.1053575409195049,0.002678198838823396
Region_R22,0.09807707865104628,1.1030478032686386,0.09711461611920004
Region_R82,0.09204590799036902,1.096415155141846,0.0010579535813201766
Region_R24,0.08765582359324073,1.0916123501497508,0.0020855122111309897
VehBrand_B11,0.06930816095520066,1.0717664348327118,0.12936780079396729
Area_E,0.05763636285768996,1.0593297140331939,0.456887857151588
Area_D,0.05601693586967067,1.0576155952248198,0.33371923962278593
VehBrand_B13,0.054763934862198396,1.0562912317061686,0.2401856436114823
VehBrand_B5,0.0512846248700183,1.0526224531789978,0.07467266738833851
VehGas_Regular,0.04391647343380031,1.0448950747457568,0.000510197483135035
Region_R25,0.03879238870554967,1.0395546379608926,0.4520822385245181
LogDensity,0.029988237403190593,1.0304424132035894,0.04239034137035582
Region_R52,0.025520480469677715,1.0258489159229165,0.4652477658187619
BonusMalus,0.02261700983730316,1.0228747135662917,0.0
VehBrand_B10,0.015763087922509068,1.0158879807622816,0.7066928165759926
VehPower,0.014750586618638838,1.0148599134047713,3.6665209190770776e-06
Area_B,0.012122059401935299,1.012195829343857,0.6785637290510478
Region_R93,0.007935321429145421,1.0079668895380212,0.7858392944727406
DrivAge,0.006395678515426076,1.0064161745392906,1.1961600018965728e-44
Area_C,0.0034961521713339164,1.0035022708398573,0.9269075861972236
Region_R26,0.001545719075414447,1.0015469143149,0.9782912939730415
Region_R42,-0.0005933846429284888,0.9994067913749216,0.9954270511688253
VehBrand_B3,-0.008377923562013808,0.991657073437334,0.7396948363757032
Area_F,-0.014873862829197943,0.9852362066732311,0.8893825859241777
VehBrand_B4,-0.026805988798353105,0.9735501028284533,0.4327819821346722
VehBrand_B2,-0.027211926505971342,0.9731549823340393,0.12360237775896028
Region_R91,-0.030709633312608224,0.9697571173602497,0.4219088565481107
VehAge,-0.03983499743003799,0.9609479849588488,5.710410924885772e-191
Region_R54,-0.04414671261709716,0.9568135705520224,0.326194332304492
VehBrand_B6,-0.05271482899332961,0.9486505015311479,0.10819048483719276
Region_R31,-0.07249403989915064,0.9300712899624444,0.07326625542506579
Region_R23,-0.07442535231318101,0.928276765185989,0.29552387399780333
Region_R72,-0.0760864584237579,0.9267360789549529,0.0513033406532305
Region_R43,-0.08378756584097802,0.9196265954484327,0.591612491351605
Region_R73,-0.1031754748433075,0.9019686867802745,0.03780325204983238
VehBrand_B14,-0.12119808771843732,0.885858464529644,0.17337190005022252
Region_R41,-0.1784217921093823,0.8365894822176875,0.0005534305564672894
Region_R83,-0.2686506641006242,0.7644102449514217,0.0018593897447597265
const,-4.061315819118331,0.01722633745197754,0.0
